--------- beginning of main
09-23 01:09:45.718  3216  6136 I ScreenTranslatorPipe:   [en] "This liaSmoked sausg is a favorite snNF" @ Rect(60, 2289 - 706, 2326)
09-23 01:09:45.758  3216  3312 I ScreenTranslatorPipe:   tesseract tried on [de]/low-conf(0.74) "knackwurst" → [de conf=0.51 cyr=0] "&nackwurst"
09-23 01:09:45.769  3216  3312 I ScreenTranslatorPipe:   [und] "knackwurst" @ Rect(52, 1350 - 331, 1400)
09-23 01:09:45.798  3216  6135 I ScreenTranslatorPipe:   tesseract tried on [de]/low-conf(0.59) "Lcberkäse" → [en conf=0.54 cyr=0] "SLeberkase"
09-23 01:09:45.798  3216  6135 I ScreenTranslatorPipe:   [und] "Lcberkäse" @ Rect(52, 966 - 282, 1012)
09-23 01:09:45.802  3216  6135 I ScreenTranslatorPipe:   tesseract tried on [de]/low-conf(0.54) "Sauerkraut" → [de conf=0.54 cyr=0] "Sauerkraut"
09-23 01:09:45.802  3216  6135 I ScreenTranslatorPipe:   [und] "Sauerkraut" @ Rect(54, 1617 - 282, 1659)
09-23 01:09:45.803  3216  3255 I ScreenTranslatorPipe:   [und] "Landjiger" @ Rect(52, 2234 - 255, 2286)
09-23 01:09:45.816  3216  3255 I ScreenTranslatorPipe:   tesseract tried on [und]/und "Bratwurst" → [und conf=0.00 cyr=0] "Sratwurst"
09-23 01:09:45.816  3216  3255 I ScreenTranslatorPipe:   [und] "Bratwurst" @ Rect(51, 786 - 298, 828)
09-23 01:09:45.818  3216  3312 I ScreenTranslatorPipe:   [und] "Bretzel" @ Rect(52, 2087 - 202, 2136)
09-23 01:09:45.836  3216  5827 I ScreenTranslatorPipe:   tesseract tried on [und]/und "Rhode" → [und conf=0.00 cyr=0] "mio"
09-23 01:09:45.836  3216  5827 I ScreenTranslatorPipe:   [und] "Rhode" @ Rect(94, 138 - 143, 163)
09-23 01:09:45.866  3216  6136 I ScreenTranslatorPipe:   tesseract tried on [und]/und "Delete" → [und conf=0.00 cyr=0] ""Delete"
09-23 01:09:45.866  3216  6136 I ScreenTranslatorPipe:   [und] "Delete" @ Rect(865, 2284 - 971, 2313)
09-23 01:09:45.966  3216  3312 I ScreenTranslatorPipe:   tesseract tried on [und]/und "Gurkensalat - Cucumber SalaS" → [und conf=0.00 cyr=0] "Gurkensalat - Cucumber Salad"
09-23 01:09:45.966  3216  3312 I ScreenTranslatorPipe:   [und] "Gurkensalat - Cucumber SalaS" @ Rect(56, 1930 - 679, 1973)
09-23 01:09:45.972  3216  6136 I ScreenTranslatorPipe:   [und] "kartoffelsalat -1Dotato Salað" @ Rect(55, 1776 - 638, 1825)
09-23 01:09:46.000  3216  6135 I ScreenTranslatorPipe:   tesseract tried on [und]/und "3olond" → [und conf=0.00 cyr=0] "Foland"
09-23 01:09:46.000  3216  6135 I ScreenTranslatorPipe:   [und] "3olond" @ Rect(235, 138 - 290, 162)
09-23 01:09:46.008  3216  3313 I ScreenTranslatorPipe:   [und] "2Retskefler Speisekarte" @ Rect(333, 87 - 1032, 171)
09-23 01:09:46.008  3216  3313 I ScreenTranslatorPipe: language signal: counts={} → no suggestion
09-23 01:09:46.008  3216  3313 I ScreenTranslatorPipe: LID+NMT for 45 region(s) in 876ms → 0 card(s)
09-23 01:09:51.558  3216  3313 I ScreenTranslatorPipe: screen unchanged (hamming=0/256 in 0ms); reusing 0 card(s)
