frame_id,ts_ms,pkg,path,total_ms,harvest_ms,root_ms,walk_ms,hash_ms,ocr_ms,nmt_ms,overlay_ms,n_regions,n_cards,ocr_raw,ocr_kept,ocr_w,ocr_h,ocr_scale
57,1790110310898,com.google.android.apps.photos,ocr_full,6253,12,11,1,1,1290,4369,45,168,89,168,120,1080,2400,1.0
58,1790110317153,com.google.android.apps.photos,hash_hit,213,21,3,18,0,0,0,3,0,89,0,0,0,0,1.0
59,1790110320120,com.google.android.apps.photos,hash_hit,180,21,5,16,1,0,0,2,0,89,0,0,0,0,1.0
60,1790110320302,com.google.android.apps.photos,hash_hit,494,2,1,1,1,0,0,3,0,89,0,0,0,0,1.0
