frame_id,ts_ms,pkg,path,total_ms,harvest_ms,root_ms,walk_ms,hash_ms,ocr_ms,nmt_ms,overlay_ms,n_regions,n_cards,ocr_raw,ocr_kept,ocr_w,ocr_h,ocr_scale
65,1790110656245,com.android.settings,a11y_full,316,303,4,299,0,0,11,0,16,0,0,0,0,0,1.0
66,1790110656245,com.android.settings,ocr_full,1497,303,4,299,3,684,403,3,19,0,19,19,1080,2400,1.0
67,1790110658604,com.android.settings,a11y_full,151,146,13,133,0,0,4,0,16,0,0,0,0,0,1.0
68,1790110658604,com.android.settings,hash_hit,205,146,13,133,1,0,0,1,0,0,0,0,0,0,1.0
