frame_id,ts_ms,pkg,path,total_ms,harvest_ms,root_ms,walk_ms,hash_ms,ocr_ms,nmt_ms,overlay_ms,n_regions,n_cards,ocr_raw,ocr_kept,ocr_w,ocr_h,ocr_scale
22,1790122616925,com.android.chrome,a11y_full,1891,546,35,511,0,0,779,48,42,25,0,0,0,0,1.0
23,1790122618830,com.android.chrome,a11y_hit,258,257,6,251,0,0,0,1,42,25,0,0,0,0,1.0
24,1790122620142,com.android.chrome,a11y_hit,24,22,4,18,0,0,0,2,42,25,0,0,0,0,1.0
25,1790122620248,com.android.chrome,a11y_hit,12,12,2,10,0,0,0,0,42,25,0,0,0,0,1.0
26,1790122622815,com.android.chrome,a11y_hit,32,31,7,24,0,0,0,1,42,25,0,0,0,0,1.0
